name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Bunburra Rockhole,48653,Valid,Eucrite,324,Fell,01/01/2007 12:00:00 AM,-31.350000,129.190000,"(-31.35, 129.19)"
Buzzard Coulee,48654,Valid,H4,41000,Fell,01/01/2008 12:00:00 AM,52.996000,-109.848170,"(52.996, -109.84817)"
Cali,45976,Valid,H/L4,478,Fell,01/01/2007 12:00:00 AM,3.405000,-76.510000,"(3.405, -76.51)"
Carancas,45817,Valid,H4-5,342,Fell,01/01/2007 12:00:00 AM,-16.664440,-69.043890,"(-16.66444, -69.04389)"
Chelyabinsk,57165,Valid,LL5,100000,Fell,01/01/2013 12:00:00 AM,54.816670,61.116670,"(54.81667, 61.11667)"
Chergach ,47347,Valid,H5,100000,Fell,01/01/2007 12:00:00 AM,23.696390,-5.014720,"(23.69639, -5.01472)"
Daule,51559,Valid,L5,6580,Fell,01/01/2008 12:00:00 AM,-1.870890,-79.957560,"(-1.87089, -79.95756)"
Dergaon,6664,Valid,H5,12500,Fell,01/01/2001 12:00:00 AM,26.683330,93.866670,"(26.68333, 93.86667)"
Devgaon,6694,Valid,H3.8,12000,Fell,01/01/2001 12:00:00 AM,19.000000,81.000000,"(19.0, 81.0)"
Didim,47350,Valid,H3-5,3396,Fell,01/01/2007 12:00:00 AM,37.351720,27.329970,"(37.35172, 27.32997)"
Grimsby,50911,Valid,H5,215,Fell,01/01/2009 12:00:00 AM,43.200000,-79.616670,"(43.2, -79.61667)"
Hiroshima,11889,Valid,H5,414,Fell,01/01/2003 12:00:00 AM,34.450000,132.383330,"(34.45, 132.38333)"
